id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,result,T1PliS,T1PviS,T2PliS,T2PviS,total_punts_loc,total_punts_vis,month,day_of_week,GoalsliS,GoalsviS,local_3streak,visitor_3streak,local_5streak,visitor_5streak,last_1ra_loc,last_1ra_vis,Rk_loc,Rk_vis,last_top6_loc,last_top6_vis
11739,1987-88,1,4,Murcia,Espanol,0,1,1987-09-20,0,1.0,0.5,0.5,0.0,6.0,3.0,2,7,4.0,3.0,6.0,3.0,6.0,3.0,1,1,3.0,5.0,0,0
11740,1987-88,1,4,Real Sociedad,Sevilla,0,1,1987-09-20,0,0.3333333333333333,0.0,0.0,1.0,1.0,3.0,2,7,2.0,4.0,1.0,3.0,1.0,3.0,1,1,7.0,5.0,0,0
11741,1987-88,1,4,Real Madrid,Osasuna,3,0,1987-09-20,2,1.0,1.0,1.0,0.3333333333333333,9.0,7.0,2,7,18.0,5.0,9.0,7.0,9.0,7.0,1,1,1.0,2.0,0,0
11742,1987-88,1,5,Atletico de Bilbao,Barcelona,1,0,1987-09-26,2,1.0,0.3333333333333333,0.0,0.5,8.0,3.0,2,6,4.0,3.0,5.0,0.0,8.0,3.0,1,1,4.0,8.0,0,0
11743,1987-88,1,5,Espanol,Real Sociedad,0,4,1987-09-26,0,0.5,0.5,0.16666666666666666,0.0,6.0,1.0,2,6,4.0,2.0,6.0,1.0,6.0,1.0,1,1,6.0,10.0,0,0
11744,1987-88,1,5,Las Palmas,Real Madrid,0,2,1987-09-26,0,0.5,0.16666666666666666,1.0,1.0,4.0,12.0,2,6,4.0,21.0,4.0,9.0,4.0,12.0,1,1,7.0,1.0,0,0
11745,1987-88,1,5,Atletico de Madrid,Betis,1,0,1987-09-27,2,1.0,0.16666666666666666,0.6666666666666666,0.5,7.0,7.0,2,7,5.0,5.0,4.0,4.0,7.0,7.0,1,1,5.0,5.0,0,0
11746,1987-88,1,5,Cadiz,Zaragoza,0,2,1987-09-27,0,0.5,1.0,0.5,0.16666666666666666,9.0,4.0,2,7,7.0,4.0,9.0,1.0,9.0,4.0,1,1,3.0,7.0,0,0
11747,1987-88,1,5,Mallorca,Logrones,4,0,1987-09-27,2,0.16666666666666666,0.0,0.3333333333333333,0.0,1.0,2.0,2,7,3.0,2.0,1.0,2.0,1.0,2.0,1,1,10.0,9.0,0,0
11748,1987-88,1,5,Osasuna,Sporting de Gijon,0,0,1987-09-27,1,1.0,0.16666666666666666,0.6666666666666666,0.0,7.0,4.0,2,7,5.0,2.0,4.0,3.0,7.0,4.0,1,1,5.0,7.0,0,0
11749,1987-88,1,5,Sabadell,Celta de Vigo,0,0,1987-09-27,1,0.5,0.16666666666666666,0.6666666666666666,0.5,4.0,7.0,2,7,3.0,5.0,4.0,4.0,4.0,7.0,1,1,7.0,5.0,0,0
11750,1987-88,1,5,Sevilla,Valladolid,1,0,1987-09-27,2,0.0,1.0,0.3333333333333333,0.16666666666666666,6.0,3.0,2,7,5.0,2.0,6.0,2.0,6.0,3.0,1,1,6.0,8.0,0,0
11751,1987-88,1,5,Valencia,Murcia,2,0,1987-09-27,2,1.0,0.6666666666666666,0.5,0.5,10.0,6.0,2,7,7.0,4.0,7.0,6.0,10.0,6.0,1,1,2.0,6.0,0,0
11752,1987-88,1,6,Barcelona,Atletico de Madrid,1,2,1987-10-03,0,0.0,0.3333333333333333,1.0,0.16666666666666666,3.0,10.0,3,6,3.0,6.0,0.0,6.0,3.0,10.0,1,1,11.0,4.0,0,0
11753,1987-88,1,6,Betis,Sabadell,6,0,1987-10-04,2,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.16666666666666666,7.0,5.0,3,7,5.0,3.0,1.0,5.0,7.0,5.0,1,1,7.0,9.0,0,0
11754,1987-88,1,6,Celta de Vigo,Mallorca,1,1,1987-10-04,1,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.0,8.0,4.0,3,7,5.0,7.0,4.0,3.0,8.0,4.0,1,1,6.0,10.0,0,0
11755,1987-88,1,6,Sporting de Gijon,Las Palmas,4,1,1987-10-04,2,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.16666666666666666,5.0,4.0,3,7,2.0,4.0,4.0,4.0,5.0,4.0,1,1,9.0,10.0,0,0
11756,1987-88,1,6,Logrones,Cadiz,1,2,1987-10-04,0,0.3333333333333333,0.0,0.3333333333333333,1.0,2.0,9.0,3,7,2.0,7.0,1.0,6.0,2.0,9.0,1,1,12.0,5.0,0,0
11757,1987-88,1,6,Murcia,Atletico de Bilbao,2,3,1987-10-04,0,0.5,0.3333333333333333,1.0,0.3333333333333333,6.0,11.0,3,7,4.0,5.0,3.0,7.0,6.0,11.0,1,1,8.0,3.0,0,0
11758,1987-88,1,6,Real Sociedad,Valencia,3,0,1987-10-04,2,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,4.0,13.0,3,7,6.0,9.0,3.0,9.0,4.0,13.0,1,1,10.0,2.0,0,0
11759,1987-88,1,6,Real Madrid,Sevilla,3,1,1987-10-04,2,1.0,1.0,0.3333333333333333,1.0,15.0,9.0,3,7,23.0,6.0,9.0,6.0,15.0,9.0,1,1,1.0,5.0,0,0
11760,1987-88,1,6,Valladolid,Espanol,1,0,1987-10-04,2,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5,3.0,6.0,3,7,2.0,4.0,1.0,6.0,3.0,6.0,1,1,11.0,8.0,0,0
11761,1987-88,1,6,Zaragoza,Osasuna,1,0,1987-10-04,2,0.5,0.4444444444444444,0.7777777777777778,0.16666666666666666,7.0,8.0,3,7,6.0,5.0,3.0,4.0,7.0,8.0,1,1,7.0,6.0,0,0
11762,1987-88,1,7,Atletico de Bilbao,Real Sociedad,1,4,1987-10-17,0,1.0,0.5555555555555556,0.4444444444444444,0.3333333333333333,14.0,7.0,3,6,8.0,9.0,7.0,6.0,11.0,7.0,1,1,2.0,8.0,0,0
11763,1987-88,1,7,Espanol,Real Madrid,0,2,1987-10-17,0,0.3333333333333333,0.3333333333333333,1.0,1.0,6.0,18.0,3,6,4.0,26.0,3.0,9.0,6.0,15.0,1,1,9.0,1.0,0,0
11764,1987-88,1,7,Las Palmas,Zaragoza,2,1,1987-10-17,2,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.4444444444444444,4.0,10.0,3,6,5.0,7.0,1.0,6.0,4.0,7.0,1,1,11.0,5.0,0,0
11765,1987-88,1,7,Atletico de Madrid,Murcia,1,0,1987-10-18,2,1.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,13.0,6.0,3,7,8.0,6.0,6.0,0.0,10.0,6.0,1,1,3.0,9.0,0,0
11766,1987-88,1,7,Cadiz,Osasuna,1,1,1987-10-18,1,0.3333333333333333,1.0,0.7777777777777778,0.1111111111111111,12.0,8.0,3,7,9.0,5.0,6.0,1.0,12.0,5.0,1,1,4.0,7.0,0,0
11767,1987-88,1,7,Logrones,Celta de Vigo,0,0,1987-10-18,1,0.2222222222222222,0.0,0.5555555555555556,0.4444444444444444,2.0,9.0,3,7,3.0,6.0,1.0,5.0,2.0,6.0,1,1,13.0,6.0,0,0
11768,1987-88,1,7,Mallorca,Betis,3,1,1987-10-18,2,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.3333333333333333,5.0,10.0,3,7,8.0,11.0,4.0,4.0,5.0,7.0,1,1,10.0,5.0,0,0
11769,1987-88,1,7,Sabadell,Barcelona,0,1,1987-10-18,0,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333,5.0,3.0,3,7,3.0,4.0,2.0,0.0,5.0,0.0,1,1,10.0,12.0,0,0
11770,1987-88,1,7,Sevilla,Sporting de Gijon,2,0,1987-10-18,2,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.1111111111111111,9.0,8.0,3,7,7.0,6.0,6.0,7.0,9.0,7.0,1,1,6.0,7.0,0,0
